dataset,subset,algorithm,param,subset_size,silhouette_native,silhouette_common,ARI,AMI,CH,DB,clustering_runtime
AIJobs,medium,famd_kmeans,3,5000,0.18797912078584936,0.18797912078584936,-0.030509458018130056,0.006648110632006234,462.6583457994525,1.268977019500884,0.007402181625366211
AIJobs,medium,k_prototypes,4,5000,0.23972471058368683,0.0677032209091213,-0.030207427277001056,0.02081265442751926,243.65949078657974,3.416490151246639,10.813916683197021
AIJobs,medium,agg_gower,4,5000,0.3468562960624695,0.34992725273282727,0.00338865531108015,0.0025636071330723113,161.42218330138422,1.9145941274049763,0.33718442916870117
AIJobs,medium,k_medoids,4,5000,0.2898474633693695,0.06337094755820183,-0.012159549764202072,0.02031745720813542,170.9805410328939,3.4457529197128838,0.42020297050476074
AIJobs,medium,famd_kmeans,4,5000,0.24923379552413708,0.24923379552413708,-0.03522612104369051,0.007650865266536119,506.89739566263006,1.298867054531148,0.008318901062011719
AIJobs,medium,k_prototypes,5,5000,,,,,,,0.0
AIJobs,medium,agg_gower,5,5000,0.451763391494751,0.059785152879304644,-0.012628602529316964,0.004556687508188896,183.77719971495748,2.4426052531744267,0.3371760845184326
AIJobs,medium,k_medoids,5,5000,0.3343011140823364,0.08369266286973154,-0.013832981699794437,0.016611120898711872,177.05974910664926,2.963090092163372,0.2570152282714844
AIJobs,medium,famd_kmeans,5,5000,0.3012626519508803,0.3012626519508803,-0.02831115454763388,0.015787758107569737,562.7774436253358,1.1853618800102614,0.007546186447143555
AIJobs,medium,k_prototypes,6,5000,,,,,,,0.0
AIJobs,medium,agg_gower,6,5000,0.4444178640842438,0.05930716262230361,-0.012618154687901093,0.00447292333159566,150.47636773261058,2.1748063370007475,0.33182597160339355
AIJobs,medium,k_medoids,6,5000,0.3982331156730652,0.08381862982398361,0.010287183374486784,0.032072212469932464,191.81465146450213,2.5723198744417317,0.24570202827453613
AIJobs,medium,famd_kmeans,6,5000,0.35671328256035206,0.35671328256035206,-0.033655231812536046,0.016423360259885347,635.6582283144866,1.1048623125597552,0.008574485778808594
